Year,95-99,90-94,85-89,80-84,75-79,70-74,65-69,60-64,55-59,50-54,45-49,40-44,35-39,30-34,25-29,20-24,15-19,10-14,5-9,1-4,0
1955,0.476182,1.904728,4.285638,6.904639,9.999822,22.10194,36.06106,55.66498,57.93702,92.416224,100.117576,105.3504,114.1296,122.951192,127.969608,131.6378,131.8618,173.414352,187.865548,189.9477095,53.19169048
1956,0.5101924,2.0407696,4.5917316,7.3977898,10.7140404,23.3439472,38.0874928,59.801315,62.242185,97.900752,106.059148,108.8132448,117.8810152,126.7234178,131.8958022,136.033,138.42932,186.27432,201.79718,192.7184119,55.0354881
1957,0.5505376,2.2021504,4.9548384,7.9827952,11.5612896,24.8509056,40.5462144,64.7233552,67.3651248,104.5383552,113.2498848,113.2670976,122.7060224,131.6044352,136.9760448,141.63288,146.41904,201.509952,218.302448,197.4301943,56.71628571
1958,0.578884,2.315536,5.209956,8.393818,12.156564,25.7461248,42.0068352,68.1005332,70.8801468,108.5485632,117.5942768,114.6589824,124.2138976,132.982374,138.410226,143.58808,150.94616,212.26896,229.95804,198.68068,55.258
1959,0.60836,2.43344,5.47524,8.82122,12.77556,26.6703456,43.5147744,71.6133824,74.5363776,112.6973184,122.0887616,116.0460288,125.7165312,134.345456,139.828944,145.56016,155.63632,223.472832,242.095568,196.55416,57.014
1960,0.63991,2.55964,5.75919,9.278695,13.43811,27.66324,45.13476,75.372829,78.449271,117.153648,126.916452,117.593232,127.392668,135.884987,141.431313,147.7602,160.727,235.47192,255.09458,194.9161,58.476
1961,0.6818384,2.7273536,6.1365456,9.8866568,14.3186064,29.8963252,48.7782148,79.8683095,83.1282405,119.3563488,129.3027112,120.5905152,130.6397248,139.5999318,145.2978882,159.14582,172.59946,241.0244016,261.1097684,204.59184,57.223
1962,0.730124,2.920496,6.571116,10.586798,15.332604,32.4594784,52.9602016,85.1345306,88.6094094,122.3460192,132.5415208,124.429776,134.798924,144.271974,150.160626,172.1692,186.1544,248.089104,268.763196,212.99526,58.95
1963,0.7801556,3.1206224,7.0214004,11.3122562,16.3832676,35.1294648,57.3164952,90.547345,94.243155,125.1427392,135.5713008,128.1536928,138.8331672,148.8492502,154.9247298,185.74528,200.28744,254.9497824,276.1955976,220.13556,61.986
1964,0.8309192,3.3236768,7.4782728,12.0483284,17.4493032,37.8614672,61.7739728,95.9931364,99.9112236,127.5991872,138.2324528,131.6118816,142.5795384,153.1575164,159.4088436,199.63656,214.74328,261.3175488,283.0940112,225.62736,66.389
1965,0.874777,3.499108,7.872993,12.6842665,18.370317,40.297328,65.748272,100.578772,104.684028,128.595264,139.311536,133.648104,144.785446,155.8652025,162.2270475,211.9907,227.5591,264.982896,287.064804,230.2589,68.908
1966,0.914632,3.658528,8.231688,13.262164,19.207272,42.5644992,69.4473408,104.6630298,108.9349902,128.7235296,139.4504904,134.85144,146.08906,157.646132,164.080668,223.4776,239.458,267.11688,289.37662,235.03498,69.757
1967,0.9693912,3.8775648,8.7245208,14.0561724,20.3572152,45.2393344,73.8115456,109.4317392,113.8983408,129.6415488,140.4450112,137.5371456,148.9985744,162.1703804,168.7895796,238.80136,256.79208,276.5405568,299.5856032,253.76624,67.526
1968,1.0118544,4.0474176,9.1066896,14.6718888,21.2489424,47.7113408,77.8448192,113.8794104,118.5275496,129.8230656,140.6416544,138.9242112,150.5012288,164.1966088,170.8985112,251.25072,269.65296,279.1487616,302.4111584,255.10128,72.486
1969,1.063825,4.2553,9.574425,15.4254625,22.340325,50.6633556,82.6612644,119.3964919,124.2698181,130.9700448,141.8842152,141.408168,153.192182,167.5346015,174.3727485,266.181,285.14,283.94628,307.60847,260.37754,76.215
1970,1.118236,4.472944,10.064124,16.214422,23.482956,53.767416,87.725784,125.183534,130.293066,132.115392,143.125008,143.967936,155.965264,170.982266,177.961134,281.8592,301.388,288.8808,312.9542,262.2352,83.702
1971,1.211428,4.845712,10.902852,17.565706,25.439988,56.814712,92.697688,127.10061,132.28839,134.946528,146.192072,147.285984,159.559816,182.908278,190.373922,287.328,305.5128,298.77696,323.67504,269.0078,88.796
1972,1.31307,5.25228,11.81763,19.039515,27.57447,60.1724072,98.1760328,129.392536,134.673864,138.229152,149.748248,151.1072448,163.6995152,195.9624562,203.9609238,293.72272,310.49812,309.8536608,335.6747992,282.59708,88.454
1973,1.4193156,5.6772624,12.7738404,20.5800762,29.8056276,63.6532072,103.8552328,131.613951,136.985949,141.4942176,153.2854024,154.920336,167.830364,209.5512734,218.1043866,300.03928,315.26604,321.0868992,347.8441408,293.06738,91.385
1974,1.514996,6.059984,13.634964,21.967442,31.814916,66.5696768,108.6136832,132.385701,137.789199,143.28552,155.22598,157.1965152,170.2962248,221.5778628,230.6218572,303.38568,316.93488,329.7104352,357.1863048,298.55022,96.281
1975,1.60803,6.43212,14.47227,23.316435,33.76863,69.320056,113.101144,132.629476,138.042924,144.545136,156.590564,158.893632,172.134768,233.125879,242.641221,305.5882,317.3131,337.190592,365.289808,305.0003,98.786
1976,1.7080968,6.8323872,15.3728712,24.7674036,35.8700328,72.3237888,118.0019712,133.165536,138.600864,146.1679488,158.3486112,161.0031168,174.4200432,245.6218884,255.6472716,308.56536,318.41844,345.6730944,374.4791856,312.24172,101.663
1977,1.8084122,7.2336488,16.2757098,26.2219769,37.9766562,75.2874392,122.8374008,133.432194,138.878406,147.5439312,159.8392588,162.8575872,176.4290528,258.0882381,268.6224519,311.03814,318.92901,353.7596736,383.2396464,325.65933,97.856
1978,1.9150092,7.6600368,17.2350828,27.7676334,40.2151932,78.4684952,128.0275448,133.884709,139.349391,149.1620352,161.5922048,164.9720832,178.7197568,271.3386466,282.4136934,313.95904,319.76896,362.4265056,392.6287144,338.81468,94.937
1979,2.032392,8.129568,18.291528,29.469684,42.680232,82.0406928,133.8558672,134.775186,140.276214,151.312896,163.922304,167.6728512,181.6455888,285.9982608,297.6716592,317.93688,321.54468,372.4434432,403.4803968,349.68412,95.861
1980,2.1449,8.5796,19.3041,31.10105,45.0429,85.35978,139.27122,135.030182,140.541618,152.815104,165.549696,169.683984,183.824316,299.919592,312.161208,320.5938,321.9137,381.168576,412.932624,359.492,96.282
1981,2.2569004,9.0276016,20.3121036,32.7250558,47.3949084,85.7460424,139.9014376,136.012681,141.564219,153.9104112,166.7362788,179.6243184,194.5930116,300.2014106,312.4545294,323.32769,329.89668,385.2628608,417.3680992,361.71625,95.365
1982,2.3814432,9.5257728,21.4329888,34.5309264,50.0103072,86.5049632,141.1396768,137.599056,143.215344,155.6850816,168.6588384,190.5810432,206.4627968,301.7578368,314.0744832,327.45992,339.41144,390.9552384,423.5348416,361.5402,98.621
1983,2.4979558,9.9918232,22.4816022,36.2203591,52.4570718,86.8751402,141.7436498,138.5679575,144.2237925,156.732744,169.793806,200.8519728,217.5896372,301.8061606,314.1247794,329.90835,347.22353,394.4832624,427.3568676,359.86377,100.666
1984,2.6321672,10.5286688,23.6895048,38.1664244,55.2755112,87.7496456,143.1704744,140.367458,146.096742,158.7442752,171.9729648,212.6358432,230.3554968,303.7077232,316.1039568,334.51384,357.51006,400.6568832,434.0449568,363.62552,100.283
1985,2.759196,11.036784,24.832764,40.008342,57.943116,88.2721,144.0229,141.631854,147.412746,160.173792,173.521608,223.926432,242.586968,304.490508,316.918692,338.0066,366.8042,405.529824,439.323976,364.5598,101.128
1986,2.8874064,11.5496256,25.9866576,41.8673928,60.6355344,88.741856,144.789344,142.826572,148.656228,161.5238976,174.9842224,235.3357824,254.9470976,305.0779592,317.5301208,341.31972,376.01956,410.128704,444.306096,366.04108,100.988
1987,3.0241328,12.0965312,27.2171952,43.8499256,63.5067888,89.379078,145.829022,144.312154,150.202446,163.2126192,176.8136708,247.4881008,268.1121092,306.2793314,318.7805286,345.38689,386.20922,415.600944,450.234356,368.57341,100.679
1988,3.1591104,12.6364416,28.4319936,45.8071008,66.3413184,89.8714896,146.6324304,145.58978,151.53222,164.68224,178.40576,259.5612864,281.1913936,307.0582648,319.5912552,349.0564,396.10524,420.5645952,455.6116448,368.77636,102.019
1989,3.3067538,13.2270152,29.7607842,47.9479301,69.4418298,90.6281646,147.8670054,147.3060785,153.3185715,166.6354896,180.5217804,272.6704368,295.3929732,308.658889,321.257211,353.68347,407.21435,426.5981712,462.1480188,371.08989,102.278
1990,3.608636,14.434544,32.477724,52.325222,75.781356,95.347396,155.566804,155.335488,161.675712,175.453104,190.074196,297.901056,322.726144,322.15638,335.30562,371.6659,433.9357,448.419552,485.787848,387.8043,104.813
1991,3.8344576,15.3378304,34.5101184,55.5996352,80.5236096,102.3280416,166.9562784,163.0370532,169.6916268,192.1953408,208.2116192,309.9867456,335.8189744,334.3852512,348.0336288,393.55908,451.23928,464.3041344,502.9961456,403.24044,107.184
1992,3.9744968,15.8979872,35.7704712,57.6302036,83.4644328,107.1002108,174.7424492,167.0728794,173.8921806,205.3471584,222.4594216,315.1207008,341.3807592,339.5872578,353.4479622,407.98766,459.49554,470.8323648,510.0683952,406.7549,111.608
1993,4.1123064,16.4492256,37.0107576,59.6284428,86.3584344,111.8632144,182.5136656,170.9532776,177.9309624,218.6984832,236.9233568,319.8960384,346.5540416,344.454124,358.513476,422.40684,467.34212,476.8759872,516.6156528,412.28464,113.656
1994,4.2651368,17.0605472,38.3862312,61.8444836,89.5678728,117.0874848,191.0374752,175.387758,182.546442,233.1529824,252.5823976,325.6300608,352.7658992,350.3691492,364.6699308,438.5043,476.61794,484.305312,524.664088,419.33466,115.884
1995,4.396978,17.587912,39.572802,63.756181,92.336538,121.788328,198.707272,178.914141,186.216759,246.77952,267.34448,329.646384,357.116916,354.510492,368.980308,452.7598,483.4833,489.238848,530.008752,423.8171,118.194
1996,4.582638,18.330552,41.243742,66.448251,96.235398,123.047154,200.761146,182.68817,190.14483,261.7538688,283.5666912,331.3399488,358.9516112,366.8427042,381.8158758,462.00626,489.8762,495.9945312,537.3274088,433.34196,122.541
1997,4.76379,19.05516,42.87411,69.074955,100.03959,124.039524,202.380276,186.151392,193.749408,276.6566016,299.7113184,332.2823616,359.9725584,378.7353864,394.1939736,470.41182,495.2211,501.7833504,543.5986296,443.19852,125.709
1998,4.947064,19.788256,44.523576,71.732428,103.888344,124.9589112,203.8803288,189.6126344,197.3519256,291.91272,316.23878,333.1115328,360.8708272,390.9423546,406.8991854,478.93896,500.54988,507.7219008,550.0320592,451.0668,131.364
1999,5.138394,20.553576,46.245546,74.506713,107.906274,125.9511216,205.4991984,193.2766192,201.1654608,307.8323904,333.4850896,334.1410368,361.9861232,403.7665464,420.2468136,487.93546,506.20934,514.145328,556.990772,463.48608,133.262
2000,5.328216,21.312864,47.953944,77.259132,111.892536,126.781528,206.854072,196.793604,204.825996,323.8632,350.8518,334.78464,362.68336,416.515386,433.516014,496.5528,511.3136,520.193856,563.543344,473.175,137.711
2001,5.4610964,21.8443856,49.1498676,79.1858978,114.6830244,127.9720148,208.7964452,207.8559714,216.3398886,325.3191552,352.4290848,342.00096,370.50104,424.1661676,441.4790724,500.15162,515.42494,528.7571136,572.8202064,485.1026,137.931
2002,5.5950524,22.3802096,50.3554716,81.1282598,117.4961004,129.1360308,210.6956292,219.118004,228.061596,326.6712672,353.8938728,349.2169056,378.3183144,431.694802,449.314998,503.45546,519.30906,537.1428384,581.9047416,493.99732,140.836
2003,5.732898,22.931592,51.596082,83.127021,120.390858,130.34019,212.66031,230.7009768,240.1173432,328.097808,355.439292,356.6438928,386.3642172,439.3741212,457.3077588,506.78472,523.29891,545.7170304,591.1934496,500.55296,146.185
2004,5.8736584,23.4946336,52.8629256,85.1680468,123.3468264,131.5616088,214.6531512,242.575872,252.476928,329.5449792,357.0070608,364.2364416,394.5894784,447.148912,465.399888,510.07236,527.32976,554.4235584,600.6255216,512.34492,146.339
2005,6.020162,24.080648,54.181458,87.292349,126.423402,132.852066,216.758634,254.833565,265.234935,331.098432,358.689968,372.040704,403.044096,455.054278,473.627922,513.3329,531.3879,563.19984,610.13316,525.5422,145.045
2006,6.1720524,24.6882096,55.5484716,89.4947598,129.6131004,134.2020388,218.9612212,267.482964,278.400636,332.7424992,360.4710408,380.0748576,411.7477624,463.126146,482.029254,516.60186,535.51166,572.1194784,619.7961016,533.24492,149.322
2007,6.3316708,25.3266832,56.9850372,91.8092266,132.9650868,135.6601596,221.3402604,280.6469904,292.1019696,334.6033824,362.4869976,388.5114576,420.8874124,471.5801356,490.8283044,520.11288,539.94815,581.470848,629.926752,542.17412,152.808
2008,6.5478372,26.1913488,58.9305348,94.9436394,137.5045812,138.2718844,225.6014956,296.610034,308.716566,339.3276096,367.6049104,400.5663168,433.9468432,484.311345,504.079155,528.15078,549.23348,596.2516512,645.9392888,555.71276,158.051
2009,6.721031,26.884124,60.489279,97.4549495,141.141651,139.870647,228.210003,310.7995079,323.4852021,341.386656,369.835544,409.6127424,443.7471376,493.2649386,513.3982014,531.75211,553.87673,606.0711072,656.5770328,564.42568,162.19
2010,6.905246,27.620984,62.147214,100.126067,145.010166,141.630978,231.082122,325.70937,339.00363,343.782,372.4305,419.268336,454.207364,502.84682,523.37118,535.8177,559.0663,616.626864,668.012436,572.9272,167.373
2011,7.109637333,28.43854933,63.986736,103.0897413,149.302384,149.4739627,243.8785707,328.3604987,341.762968,346.271488,375.1274453,430.850176,466.7543573,506.9792187,527.672248,540.9330667,566.4901333,628.981504,681.3966293,590.2626,167.391
2012,7.323283333,29.29313333,65.90955,106.1876083,153.78895,157.6285727,257.1834607,331.2076927,344.726374,348.94648,378.0253533,442.925872,479.8363613,511.3483527,532.219714,546.3843667,574.2842333,641.818384,695.3032493,603.574,172.136
2013,7.544182,30.176728,67.897638,109.390639,158.427822,166.053996,270.930204,334.125267,347.763033,351.645984,380.949816,455.303088,493.245012,515.71275,536.76225,551.8781,582.1277,654.797328,709.363772,622.109,171.983
2014,7.687568,30.750272,69.188112,111.469736,161.438928,173.962784,283.834016,336.59913,350.33787,356.944896,386.690304,463.559136,502.189064,520.470944,541.714656,558.109,596.7158,671.08752,727.01148,634.753,176.969
