# 0to2m,2to4m,4to6m,6to12m,1to7,7to13,13to20,20to25,25to45,45to65,65t1000
# a,a,a,a,a,b,b,b,c,d,e
43.33119757,43.33119757,43.33119757,43.33119757,43.33119757,17.65488302,17.65488302,17.65488302,10.73793579,6.043679595,3.849106252
43.33119757,43.33119757,43.33119757,43.33119757,43.33119757,17.65488302,17.65488302,17.65488302,10.73793579,6.043679595,3.849106252
43.33119757,43.33119757,43.33119757,43.33119757,43.33119757,17.65488302,17.65488302,17.65488302,10.73793579,6.043679595,3.849106252
43.33119757,43.33119757,43.33119757,43.33119757,43.33119757,17.65488302,17.65488302,17.65488302,10.73793579,6.043679595,3.849106252
43.33119757,43.33119757,43.33119757,43.33119757,43.33119757,17.65488302,17.65488302,17.65488302,10.73793579,6.043679595,3.849106252
17.65488302,17.65488302,17.65488302,17.65488302,17.65488302,37.09153253,37.09153253,37.09153253,10.50709871,8.937172856,3.856371545
17.65488302,17.65488302,17.65488302,17.65488302,17.65488302,37.09153253,37.09153253,37.09153253,10.50709871,8.937172856,3.856371545
17.65488302,17.65488302,17.65488302,17.65488302,17.65488302,37.09153253,37.09153253,37.09153253,10.50709871,8.937172856,3.856371545
10.73793579,10.73793579,10.73793579,10.73793579,10.73793579,10.50709871,10.50709871,10.50709871,23.99317412,14.06155905,6.025532523
6.043679595,6.043679595,6.043679595,6.043679595,6.043679595,8.937172856,8.937172856,8.937172856,14.06155905,17.66127514,8.08652666
3.849106252,3.849106252,3.849106252,3.849106252,3.849106252,3.856371545,3.856371545,3.856371545,6.025532523,8.08652666,12.34598605